Case Facts,Advice
"The applicant has an enforcement court order from family court against his former wife. The court has suspended the maintenance for 8 months. the $1.1k per month he is currently paying is for the arrears. the court gave the applicant 8 months to vary the order. the applicant would like to know how he may extend the 8 months. the previous court order was for him to pay $1.8k every month. however, with his current job he is only earning $1.6k and hence is unable to pay maintenance, which is why the court has agreed to suspend the maintenance for him to apply for a variation of the court order. Since he currently pays $1.1k in arrears payment, he is unable to afford a lawyer to help him apply for a variation of court order.",the applicant will have to apply to court again to extend the 8 months. the lawyer is referring the applicant to law society's pro bono scheme. 
"This concerns variation of child maintenance fee. The Applicant has lost his shipping job and become a taxi driver. The fee has been reduced from 1500 to 750 dollars. The Applicant was given one year after retrenchment to find a job with similar pay. Currently the Applicant is offered a 2000 dollar job. The Applicant wants to know if a variation will be made again, causing him to be made to pay a higher fee should he accept the job.","The judge will make a fair apportionment. Additionally, the Applicant should seek clarification with the judge's clerks on the backdated amount."
"As per court order, Applicant's ex-husband is supposed to pay her $1000 ($850 is for their five-year-old daughter) as maintenance. However, he has not paid since August 2016 and has insisted that he will only pay $200 in total. Her ex-husband has also claimed that his salary is $1200, but she has discovered that some of his take-home pay amount to $2000. ","Since Applicant is working as well, it is unlikely that she will receive maintenance for herself. Furthermore, it was a short marriage of only 3 years. Hence, she may ask for arrears or get him to continue paying $150 to her for a certain period of time.

As for her daughter, $200 is too low a sum and she should get a lawyer to calculate how much her daughter needs each month. Her daughter's child care fees and transport fees amount to $2k.

She should apply for legal aid or engage her own lawyer. She should also apply for a summons from Family Courts."
"The client's husband is paying for the electrical bills, although the court ordered that the client would pay it. They are now afraid that he will claim against them in future for the monies paid for the electrical bills.

The client's husband began paying for the electrical bills initially after agreeing that the client would pay off his existing bills with the telco. He now continues paying even though the client wants to pay for the electrical bills, but is threatening to claim against them.

The client wants to pay for the electrical bill ($120) instead of the telco bill ($175). The telco bill is not in the original court order.","Electrical bills: Should the husband claim against the client, she can show that he has been paying out of his own accord, and that the client has been asking to pay for the bills and not avoiding responsibility. 

Telco bill: The client can try asking the judge to add the Starhub bill to the judgment order."
"The applicant has been divorced since 2010. The applicant had initially had an maintenance order of $1,700 and has been paying that for 5 years. The applicant's financial status is not as stable now and would like to lower the amount he has to pay as maintenance. ",The applicant can file for a variation for his maintenance order. The applicant needs to show the difference in his earning when the maintenance order was first made and what he is earning now. The applicant can go to the family court help centre to seek help as well. 
"Divorce case. Divorced with ex wife 7 years back. Recently, Applicant went for mediation for maintenance of his children. Before that, there was an agreement for the maintenance to be $2,000. In the past, he is paying for the ex wife's utility bills and transfers $300 every month, which amounts to less than $2,000. However, during mediation, the wife started to enforce the payment of the maintenance from him. However, due to change in circumstances in Applicant's life, he is feeling hard done to pay the $2,000 every month as he has many other things to pay for and he only earns $2,400 a month.","First, can talk it through with his ex-wife to lower the amount.
Second, can apply to court for the amount to be lowered. An application to vary the maintenance order, due to a material change in circumstances. Go and find a lawyer to help him in this process.
Quickly go and get a lawyer so he can make savings in the future."
"The applicant received a summons from her ex-husband. He wants to vary the maintenance order from $1200 to $600, due to reduction of income and re-marriage. The applicant offers that if he finds a job, she can settle the outstanding arrears. He refused.

The applicant's son has special needs (autism). As he was diagnosed later, the cost for his treatment was not asked. The applicant has care and control. The monthly expenses are about $2700.

The ex-husband has a 16 year old daughter. The applicant offered that her ex-husband's new wife could work and contribute.

The divorce was finalized in October 2013.

The ex-husband has no lawyer.","The applicant can seek a lawyer to draft a affidavit, as a variation order is permanent (unless a new one is filed). It is hard to succeed. There must be a material change in circumstances for care and control, wife and child maintenance. This is high threshold. The ex-husband's grounds are a new job (paying $400 less) and re-married and the new wife refuses to work.

The applicant should not mention the household income in her affidavit. She should state her personal income. The applicant should also not mention about her ex-husband's case. She should mention that she receives no maintenance on her part and he earns more.

The affidavit has to be reformatted with the name of parties and separate exhibits (e.g. invoices, expenses, credit card bills)."
There is a immigration issue and maintenance issue. The applicant cannot have her long term pass extended. The applicant's husband has used violence against her and she has a PPO and currently applying for maintenence. ,The applicant can go to immigration authority to extend the pass so that she can continue court proceedings for maintenance. 
"Husband cancelled the applicant's Dependent Pass, leaving her on a one-month Social Visit Pass. Applicant is currently involved in an on-going court case to determine the amount of maintenance her husband will provide her with. Their marriage has lasted 2 years 6 months so far, while the applicant has been stayed in Singapore for the past 8 years.","Applicant should approach ICA to seek an extension of her Social Visit Pass. Usually, she will be granted an extension till the end of the on-going court proceedings. The only way the applicant's Dependent Pass can be reinstated is if her husband chooses to apply for it on her behalf.

Applicant should provide proof of her expenses, regardless of whether in Singapore or the Philippines. Furthermore, the court will expect the applicant to get back onto her own two feet in the near future, meaning that the applicant is unlikely to receive maintenance indefinitely.

The court is unlikely to order the applicant's husband to pay for her education in Singapore."
"Divorce court order done up in July 2012, client wishes to vary maintenance order.

Son's expenses have allegedly dropped, as he is in primary school now, with less enrichment classes, etc. Son's expenses are still about $1000.

Client's income has also dipped, from $4500 to $1000 and hence is not able to afford the maintenance fees.

Client has remarried.

Client has at times delayed payment due to cash flow problems.","Client should apply for variation of court order. Lowering of client's income should be primary basis of varying a court order, which client should apply for. Court should order a reasonable outcome."
"Applicant would like to apply for a reduction of maintenance. 
Interim judgement: Maintenance of $500 for his ex-wife and 2 children, aged 10 and 11, and arrears of $100. 
Maintenance was increased to $600, with $200 arrears. 
Applicant has a court hearing on 3rd July. 
Applicant is currently working odd jobs and is unable to pay the increased maintenance. ","The applicant should engage a lawyer to represent him for the court hearing, to ask the judge for a reduction in maintenance "
"Applicant got divorced in 2008. Applicant has 2 kids. Paid $500 in maintenance for both of them. Wife asked for change in maintenance to $1000/month in 2010. Wife hired a lawyer to pursue the claim, applicant also hired a lawyer. Applicant's lawyer lost the case and Applicant had to pay the $1000 maintenance. Since 2014, the applicant was retrenched but started up a shop. Applicant has decided to end the business in September 2017 due to poor sales. Applicant still has outstanding debts. The applicant's wife has recently made another order requesting for $2000/month in maintenance for the children.",
"Currently is taking care of one of his children, when his ex-wife is meant to be taking care of him. Contract is under the basis that the ex-wife is meant to be taking care of both children. Ex-wife has kicked out her eldest child and Applicant has taken care of him. 
Ideally Applicant wants the wife to take care of his children. 
Applicant pays maintenance fee, $1000 per child. ",#NAME?
Went to the family court to file for maintenance by ex-husband for the children (3 children; monthly maintenance of $600). Application was rejected because they are unable to locate him. Divorced about 10 years back under Syariah Court.,"Maintenance is premised on finding him. Ask friends or call Law Society for Syariah lawyers.

Can opt for PJP services or Legal Aid. However, she does not think that she fulfills the criteria for Legal Aid. "
"Under the Maintenance of Parents Act, the applicant must pay her parents a maintenance order of $400 monthly. After her salary is reduced, she applied to court to reduce the monthly maintenance. The applicant's sister wishes to bring the applicant to court. Her sister is representing her mother in court. Her mother is receiving $1400 per month for social support in a joint account (shared by her mother and her sister). The applicant is barred from visitation. Her maintenance fee is varied at an ad hoc basis, but the applicant wishes for a long-term solution. ",The applicant is recommended to apply for legal aid to submit an affidavit since she has no concrete evidence for her case. The applicant should ask the social worker what social support programme(s) her mother is currently on and/or find out the exact amount of social support her mother is receiving every month. She should also request the judge to allow her to see her mother and request for more time for her to seek legal aid. 
"Divorce Order - division of assets and maintenance
","Unable to assist as the father is not present, only the son. 

Explained the Court order to the son - that the flat must be sold and the applicant's mother has to right to force the sale. 

Further, the applicant's father could apply to court to change the monthly maintenance of $500 given his age (68 years old) and his status as a retiree.

Also informed the son that it is not appropriate for him to accuse the court of being unfair - for one, the Court Order was made by consent between parties - so both the father and mother agreed to it. 

Additionally, he could not say that the Court was unfair if the father himself did not want go to court to vary the court order. "
"The applicant wishes to claim against her ex-husband for the maintenance of her children. The ex-husband was ordered to pay the part-cost fees, but he has not done so. However, the order states that no maintenance is to be paid. The divorce case went on for quite some time, so the legal fees amounted to a substantial amount, which was borne by the applicant. the ex-husband said that if the applicant wants maintenance, he threatened to hire a lawyer to drag the case on. The applicant is not a PR, and is in Singapore on a long-term pass. However, her son is a Singaporean. Her son is autistic. ","Make an application for variation and change of the order of court, because the order already states that no maintenance is to be paid. She may not qualify for Legal Aid at the Legal Aid Bureau, because she is not a Singaporean. She can try going to Family Court for help, or any kind of social organization for help Eg. AWARE, etc. She can also try going to the Ministry of Social Services."
"Divorce case. Husband did not pay maintenance, but she is not able to locate him as he does not appear to have a permanent address in Singapore. He is a foreigner","Have to locate him, if not in Singapore, have to find him overseas. If the latter, applicant will have to look for an overseas lawyer. In any case, file a maintenance summons from the Singapore courts. Speak to her previous divorce lawyer. "
"Two welfare officers here. Applicant has PPO against him. Domestic exclusion order that was filed against him for two years. End stage liver failure. Very bitter relationship with the son and son accused him of abuses etc. Both applicant and wife was not represented. Applicant is hard of hearing and uses hearing aid. Applicant has been in and out  of hospital and he has had ""falls"" repeatedly after discharge. Applicant has been staying at a hospital and no idea who is paying the bill. 

Applicant has no access to the letterbox but he is not able to receive any information. ","Possible referral to CJC adhoc volunteer. Not sure if this would be an appeal or a variation of the order. Time frame issue: Appeal likely needs to be made within a certain time. Likely that ""applicant has no other place to stay"" is a factor to consider in making a DWO but seldom is any one factor conclusive. Whether there is ""eminent danger"" is also important, 35-year old able-bodied son at home is a factor that could possibly be weighed. May be useful to have a lawyer for the legal grounds of an appeal or an application for variation. Likely to issue internal recommendation. 

Can try to broach things with the son and decide whether to settle this issue first before going to divorce. Applicant has no access to the letterbox but he is not able to receive any information. Since he is part owner, he can change the lock and key and then pass one set to the wife so she has access as well. Can ask the lawyer to route all responses through his office etc. 

Applicant can apply for a divorce and hence sell the flat. Gave general advice on the divorce stage and ancillary matters distinction. If divorce is uncontested, court process will move quite fast. Alternatively, he can approach wife and son to buy his portion out, subject to HDB approval. 

Lawyer has referred to pro bono aid. "
"Applicant is currently pregnant by her ex-boyfriend. The boyfriend's family do not want the child and asked the applicant to abort. The applicant's family wants compensation for the child while ensuring that the boyfriend's family cannot have control over the child.

The boyfriend has admitted that the child is his, but there is a risk that the boyfriend's family may claim that the child belongs to someone else.","There is no way to get a personal protection order against the boyfriend because he is not her spouse. However, she can file for an order under the Protection from Harassment Act.

Applicant can get maintenance for the child from the Family Courts. As part of maintenance proceedings, the Family Court may order a DNA test. Applicant is advised to engage a family lawyer.

Applicant likely cannot deny access to the father."
"Applicant has to pay maintenance. For the past 4 years, he has other alternative manner of paying for the maintenance. Wife is wheelchair bound.
Applicant gives money to family and takes responsibility for all grocery for the household, as he is still maintaining the family. Applicant is 67 years old and he may not be able to pay for maintenance. 
Court ordered that applicant needs to pay $300, plus $300 arrears for 20 months. Applicant is fearful that he may not be able to get a proper job. ","Applicant needs to get a lawyer as there are many forms to fill out. Applicant may be able to do this on his own accord.
Applicant is advised that he needs to pay what was already ordered. There was a private arrangement. Applicant should have gone to courts to vary the order. A/P has put in the claim for arrears and informed the courts that she did not receive the said amount. 
If applicant desires to appeal, he may need to produce new evidence and it could be subject to interrogation. (evidence)
Take it that this order remains. 
Apply to family court, and can advise that job is to change and income may be reduced.
Arrears cannot be varied, however, maintenance can be varied. "
"Applicant is 6 months pregnant with child with A/P. She wants A/P to take responsibility of the child and pay for maintenance. However, A/P has a history of criminal conviction. He may be incarcerated and could have a long term sentence due to his antecedents. ","Apply for maintenance summons from family court.
Child does not need evidence from birth certificate.
Court will normally suggest DNA.
Lawyer advised that if he is in prison he may not be able to afford the maintenance. Other possible means of taking DNA if A/P is incarcerated. Eg. doctor going to prison to get blood sample.
It is not necessary to put the A/P's name on birth certificate. "
"In 2015, applicant divorced his wife.

At that point in time, he had agreed to such terms: (1) monthly maintenance of $2,400 for his  three children; (2) alimony of $88, (3) that wife will get 50% of property if house sold; and that (4) applicant to pay insurance and utility bills. 

Applicant says he did not fully understand the implications of signing the agreement then. 

Later that year, applicant found out that third child is not biologically his.","Applicant should apply to vary the court order. Applicant would need to file a summons -- he can file this himself, or opt to engage a lawyer.

The test in Singapore is the material change in circumstances test -- the fact that the applicant lost his job would likely constitute a material change in circumstances. 

The applicant should attach relevant supporting documents as evidence that he lost job."
Husband applied for a variation of maintenance fees from $2251 to $1000. Husband is not represented by a lawyer. Applicant was given numerous documents of accounts. ,"1. Applicant should get a lawyer because winning a variation is difficult, where she loses the case, she could lose a large amount. 
2. Reply affidavit is very important.
3. Where the documents are complex, applicant may need to hire an accountant. 
4. Past enforcement documents are irrelevant."
"The Applicant has been ordered to pay his ex-wife monthly maintenance. However, he was unable to furnish payments for the past 3 months due to financial difficulty. The Applicant is in debt with certain banks. The Applicant had allocated $10 000 for his daughter who may require the money for medical treatment. However, the money is currently under his ex-wife's account. The Applicant is hoping that the maintenance to his wife can be paid from the $10 000 and also hopes that the maintenance quantum can be lowered.

Prior to this, the Applicant was informed during mediation that he could accept the amount for maintenance first and then afterwards appeal for it to be lowered.","The Applicant has been in debt with the bank since the order was passed down. Therefore, it does not constitute changes in financial circumstances for the Applicant to use it as grounds for varying the maintenance amount.  

For the Applicant to appeal to lower the maintenance quantum, he would need to file the necessary documents. "
"Applicant divorced his wife in 2003. Applicant was ordered to pay maintenance for his wife and his youngest daughter ($600/month each).

His employment was terminated due to age (he is 66) and now he is jobless. His youngest child has been working since 2-3 years ago.

Applicant wishes to know if he can stop paying maintenance.","Applicant will be considered to be in breach of the court order if he stops paying maintenance without first varying the maintenance order.

The fact that the children are working will not affect the maintenance due to the wife.

Applicant will need to make a cross-application to vary the maintenance order. Applicant should engage a lawyer to apply for variation."
"The applicant's husband has applied for divorce, she wants to ask about issues relating to the maintenance order. The applicant's husband has not paid the fees for 3 years. The husband is working at a drink stall but have yet to deposit the fees in applicant's bank account. 
The applicant is working as a security officer. The applicant has attended mediation but the husband has not fulfilled her duties to pay maintenance order, and has incurred arrears.The husband has only paid for the child's expenses, but did so inconsistently. There have been several adjournment due to her husband's failure to bring along the relevant documents. The divorce proceedings in still in processing in the Syariah Court. ","- She has to obtain the maintenance fees first via a court order from the family court. The next hearing will be positive for the applicant since her husband has to show proof of payment. 
- It will be a contempt of court if the court order is not abided by her husband
- Wait for the Syariah court order; the maintenance order is separate from the Syariah judgment
- it will be crucial to provide evidence relating to her husband transfer of cash to overseas"
"Applicant had completed a variation order for change of maintenance fee to his daughter and his wife. The divorce was finalised in 2014 on the grounds of unreasonable behaviour. It was a challenged order after 4 years of fighting (a contested divorce). They have a 15 year old son in Secondary 3 and a 19 year old daughter. 

He asked to reduce maintenance to his wife to $400. He has been paying monthly maintenance of $800 to his ex wife. 

Mainly he claims that the fee is for his daughter. However, his daughter began working and it is likely that his daughter will be getting a scholarship next year.","There must be a material, or radical change in circumtances. Varying daughter's expenses is a separate issue from varying his ex-wife's expenses. 

He has a stronger case to vary his daughter's fees since she began working, pays for her own expenses, and no longer requires maintenance. 

Instances for successful variation of maintenance fees cases are extreme, for instance, diagnosed with serious illness, lost ability to work, etc.

There are three areas he should address, as follows: 

First, why file for a reduction within two years? The order was given after 4 years of fighting. This action may be viewed unfavourably by the court. Usually it is done 5 years later. 

Second, his own expesnes. What other expenses have increased? Has his work-related risks increased?

Third, more concrete evidence is needed for his wife. For instance, housing loan has been repaid, or was a good job found? In 2014, her pay was 6k and his, 9k. To his knowldege, his wife's job is the same as it was in 2014.  If the wife is also working and her pay is a little lower than her husband's, then the court may not even award nominal damages. He can seek to stop the payment of damages or reduce to nominal damages. 

He took up a $400,000 housing loan because the house was given to her. However, the court is likely to rule as this was his own doing, why should his ex-wife suffer? His agreement to these terms are significant.  The terms were not appealed. 
"
"Applicant wants to claim maintenance arrears from her divorce. There is a court order for her husband (A/P) to pay maintenance arrears of about $77k. The applicant has tried mediation in the past but to no avail.

The A/P, however, now says that he is currently unemployed.","There is a possibility of the A/P working overseas. The applicant can therefore attempt to enforce the order overseas but she would need an order recognising an overseas enforcement order.

If the A/P still refuses to comply with the order, he may face imprisonment for contempt of court.

Additionally, it is noted that the applicant cannot claim the A/P's CPF monies.

Practically, the applicant might need to ask the A/P in court how much he can actually afford to pay and claim whatever she can."
"The issue relates to applicant's ex-wife who is in overseas now. Applicant got married in 1991, and ex-wife left him a mere two months after she gave birth. The applicant has not heard from ex-wife since she left Singapore.

Ex-wife is now claiming maintenance for child of about AUD$19k.

Applicant has with him an enforcement order, but is not aware of an existing court order.","The fact that applicant has with him an enforcement order means that ex-wife must have taken out court order at some point in time. 

It is important for applicant to get the court order to know the basis of the ex-wife's application.

It may be possible that applicant's ex-wife has filed divorce proceedings in overseas and the applicant has no notice of it. 

Applicant should comply with enforcement order by providing the relevant documents, but at the next hearing, the applicant should request that he see the court order to know what he is liable for."
"Client is currently divorced, but the ex-husband did not change his home address. The husband has a lot of debts and the debt collectors are harassing the client. 

Client wants to increase maintenance of children as at the moment, it is only $200 per child, and it is only sufficient for their daily allowance since the children are now in Secondary School. There is an increase in their needs.","The client should report to the police, especially if they become violent. Then, paste the notice on her door.

Client can email to ICA and wait for further actions. They may call the husband and tell him to update his address. Client cannot change the address of the husband on his behalf as he needs to do it himself.

Client has to apply for variation of maintenance. During the hearing, the client has to show supporting documents of the increase in expenses of the child. 

The court will order an increase in maintenance by looking at two things - 1) whether the husband will be able to afford the increase in maintenance 2) whether the child requires the increase in maintenance.

Normally, when children reach secondary school, ex-wives will apply for variation of maintenance as expenses will increase."
"Client's ex-husband failed to pay her maintenance during marriage for 9 months and client got the judge to issue a warrant of arrest in order to enforce the judgment. The judge referred the client to the CJC.

The ex-husband cannot be contacted and it is to the knowledge of the client that the ex-husband is currently hiding in overseas. Client has yet to see the husband for 3 months and it is estimated that the husband has been staying away from Singapore for 3 months.

Client wants to file for a divorce and file for maintenance of wife and child. 

Client wants to file for divorce because the husband found a new girlfriend a year ago, about the time the client gave birth. ","The police will arrest the husband and take to court.

When applying for a divorce and filing for divorce, the client can do it herself or engage a lawyer to fight for her.

Client can seek help from the legal aid bureau, where she will have to pass the means test and merits test. Due to her poor command of the language, it was advised that she should not attempt to fight it out herself. Client has been advised to tell LAB that she has seen the lawyer at the CJC and has been referred to LAB. 

THe grounds of divorce are 

adultery - requires photographic evidence

unreasonable behavior - always leave home, not good to wife

As the husband has found another girlfriend, client will go on the basis of adultery, but she has to show photographic evidence of the adultery in action. 

"
"Client is here to enquire about his maintenance. He have been maintaining his two children and his wife. The children are 24 and 23 respectively and at the time of divorce, client transferred the property to his wife. 

He have given equal amount portion of most of his assets (CPF, Shares, etc) to his ex-wife. He wish to vary the maintenance amount now to start saving for his future. ","Client should apply for a variation order to vary the maintenance downwards. He should go to FJC to file an application. 

The children are above 21 years old, therefore the maintenance should be stopped. However the maintenance for the wife remains until she remarries or dies. 

The best option is for client to vary the maintenance order. Client can consider engaging a lawyer so that he does not have to get emotionally involved in this matter. 

Client should do up a calculation to show that how much he needs to save up for his retirement. He have to maintain himself as he is getting older and he is still maintaining his parents too. "
"
Applicant has been a single parent for over 15 years. She has married and divorced the child's father since 2005. 

In 2014, during the on and off relationship, the Applicant has on some occasions, requested for maintenance from the children's father (A/P). Applicant was entitled to three years of backdated payments but is only asking for 1 year's worth of arrears. She is also asking for $10 a day, which is $300/month. The judge reduced the amount to $200/month. This is maintenance for her daughter although she has two children born to the same man. There is an enforcement of the maintenance order on 8th May 2017. The total arrears being enforced is $1200. 

When they first divorced, there was no specific amount for the maintenance in the Final Judgement. 

A/P claimed that he is unemployed and requested to waive the $300 for their daughter. A/P also alleged at a mediation that he is no longer employed as of February 2017. The daughter is now 20 years old and the A/P wishes to waive the maintenance on the grounds that the daughter is now working.

The A/P has always refused to pay for the maintenance of the second child, a son. This is because the A/P claims the son has always been cared for by the Applicant. This son is 19 years old now and is studying at a polytechnic. The son was involved in a traffic accident recently. The A/P then claimed to have brought the son home and removed him from Applicant's care. However, the son still resides with the Applicant. 

The Applicant is chiefly concerned with whether the children's father will refuse to make the payment of $200/month. He has agreed to pay for the $1200 arrears. 

Applicant alleges that there were several instances of physical violence inflicted upon her by the A/P over the 6 years. 

 
Error
  


Applicant has been a single parent for over 15 years. She has married and divorced the child's father since 2005. 

In 2014, during the on and off relationship, the Applicant has on some occasions, requested for maintenance from the children's father (A/P). Applicant was entitled to three years of backdated payments but is only asking for 1 year's worth of arrears. She is also asking for $10 a day, which is $300/month. The judge reduced the amount to $200/month. This is maintenance for her daughter although she has two children born to the same man. There is an enforcement of the maintenance order on 8th May 2017. The total arrears being enforced is $1200. 

When they first divorced, there was no specific amount for the maintenance in the Final Judgement. 

A/P claimed that he is unemployed and requested to waive the $300 for their daughter. A/P also alleged at a mediation that he is no longer employed as of February 2017. The daughter is now 20 years old and the A/P wishes to waive the maintenance on the grounds that the daughter is now working.

The A/P has always refused to pay for the maintenance of the second child, a son. This is because the A/P claims the son has always been cared for by the Applicant. This son is 19 years old now and is studying at a polytechnic. The son was involved in a traffic accident recently. The A/P then claimed to have brought the son home and removed him from Applicant's care. However, the son still resides with the Applicant. 

The Applicant is chiefly concerned with whether the children's father will refuse to make the payment of $200/month. He has agreed to pay for the $1200 arrears. 

Applicant alleges that there were several instances of physical violence inflicted upon her by the A/P over the 6 years. 


  


  

  
",
"Client got divorced in 2006. Elder son will be 21 this year. the youngest son is 16. Maintenance was not ordered in Syariah court in any documentation. She have full custody of both the sons. 

Client's husband have now applied for custody of the youngest son now. 

Client's current husband is the one who is paying for the younger son's tuition fees and etc but client have asked to vary the maintenance sum. ","Firstly, client would be asked to go for maintenance. As for the son who is 21 years old, he have to apply himself for the maintenance. 

Before ordering the maintenance, the court will always look at many circumstances: Why is the client not working, what is the change in situation of the younger son, etc. It is something that the court have the final call to determine.

As for the credit card details, client will have to apply to the court to ask for it. It is by way of discovery process. "
"Today client has a court case regarding maintenance. The case started in February. Client is here to ask about her enforcement on maintenance. This is the 10th enforcement so the court told the client that he has to be fined and then he will receive the letter to pay up. 
The maintenance covers her maid's salary and since the client's husband have been defaulting the payment, the maid is thiniking of leaving. Client is worried about her children not being taken care of. 

Client's husband says that he has no money but he is a director of a company. 

They have a separation agreement and both the parties are living under the same roof but separate households. ","Legally everything is in client's favour. It is just that the husband is delaying everything and he is not taking the court orders seriously. Client tried to talk to him separately. 

The only thing that client will be able to do is wait for the court hearing.  

You can ask the lawyer to write a letter of demand and approach LAB to help out at the same time. "
"Was a HR consultant in the past.

Now a taxi driver, lower pay compared to in the past, seeking to pay a lower maintenance to his ex-wife. Currently maintenance is set at $700 per month for his son.

Wife working as a sales coordinator, earning around $2300 per month. He's been paying $500 for his son for quite a bit of time now.

He bought over his wife's portion of the HDB after the divorce.

He's seeking to lower maintenance from $700 to a lower amount.","Prepare the necessary affidavits justifying his desire to pay a lower amount of maintenance.



"
"Applicant has been a single parent for over 15 years. She has married and divorced the child's father since 2005. 

In 2014, during the on and off relationship, the Applicant has on some occasions, requested for maintenance from the children's father (A/P). Applicant was entitled to three years of backdated payments but is only asking for 1 year's worth of arrears. She is also asking for $10 a day, which is $300/month. The judge reduced the amount to $200/month. This is maintenance for her daughter although she has two children born to the same man. There is an enforcement of the maintenance order on 8th May 2017. The total arrears being enforced is $1200.  

When they first divorced, there was no specific amount for the maintenance in the Final Judgement. 

A/P claimed that he is unemployed and requested to waive the $300 for their daughter. A/P also alleged at a mediation that he is no longer employed as of February 2017. The daughter is now 20 years old and the A/P wishes to waive the maintenance on the grounds that the daughter is now working.

The A/P has always refused to pay for the maintenance of the second child, a son. This is because the A/P claims the son has always been cared for by the Applicant. This son is 19 years old now and is studying at a polytechnic. The son was involved in a traffic accident recently. The A/P then claimed to have brought the son home and removed him from Applicant's care. However, the son still resides with the Applicant. 

The Applicant is chiefly concerned with whether the children's father will refuse to make the payment of $200/month. He has agreed to pay for the $1200 arrears. 

Applicant alleges that there were several instances of physical violence inflicted upon her by the A/P over the 6 years. ","The A/P can only avoid payment of maintenance unless he chooses to apply to vary the court order. 

*Applicant to return with the relevant documents (court order) for a second appointment. 
*Applicant has made suicidal ideations."
"Applicant divorced her husband over 10 years ago and has been claiming maintenance from her ex-husband (Adverse Party). 

Approximately 5 years ago, A/P messaged Applicant that he now has a child, so he asked if he could reduce the maintenance amount. The maintenance was originally $4300/month and this amount was proposed by the A/P during their divorce proceedings. Applicant agreed and reduced the amount by $300. This maintenance is for the Applicant solely. The Applicant agreed to the reduction because she was working at the time. However, when she was unemployed, she requested to reinstate the amount but he did not agree. She did not pursue it further due to consideration of his needs. 

On other occasions, he has reduced the amount by $1000 independently and on one occasion, he did not pay at all for that month. Even when his cheques would bounce, he would not respond to the Applicant's messages. Applicant has even tried to contact A/P's secretary but to no avail. 

Applicant made a complaint at the Family Court and asked to enforce the order. Applicant believes A/P will be engaging a lawyer. On 19th April, they went to Court 1. A/P said he would file an application to cut off the maintenance on 5th May. Applicant has filed a Summons for enforcement. During the mediation, he agreed to $4000 but due to his harsh words, Applicant rejected this and asked to use the $4300 amount. The Applicant now has two children but the Applicant does not believe he is financially challenged as his company is doing well. 

A/P currently owes Applicant an approximate $24,000. ","Applicant can ask the judge to issue an order for the A/P to pay at least half of the owed maintenance in a few days time. 

The new order will only kick in after the variation order is heard. The variation submitted by the A/P should be contested by the Applicant and justify why it should not be reduced by providing evidence of her expenses. 

Applicant can refer to the list of lawyers provided by PBSO to engage a private lawyer. "
"Client have a maintenance order. The maintenance is for the child. However the amount is insufficient now (since the child is a teenager now). 

The other party did not apply for variation. He have indeed agreed to pay for the other expenses. Previously, he have been paying for the child's expense as long as the client produce the receipts to him.

Situation is different now. Client's husband have remarried and he is making it difficult for the client. ","Client can apply for sole custody of the child. She can also ask for a variation on the maintenance order. Usually custody is joint but the access can be solely on the client. Sole custody can be given if the other party agrees. 

Citizenship should not be an issue. 

The best course of action in this case is to apply for a variation. "
"Client has a court hearing regarding the variation of maintenance amount for the children on 18 April 2017. The client has care and control of the child and seeks to raise the maintenance amount for the children as the child has grown up and requires more money. The wife told the client that she has gotten a lawyer to act for her but till date, the client has received no letter from her lawyer. The wife has told the client that her lawyer wants to meet him outside court on the 18th and the lawyer's name and firm is unknown to the client, making him uncomfortable with the idea of meeting up.","Wait until the 18 April, where he will have to go to court and ask the judge in person what are the deadlines.

Yes, it is irrelevant as to whether the wife has a lawyer or not.

No, he is not obliged to. Just say that everything will be discussed in court and reject the meeting."
"This is a divorce case, regarding the maintenance amount. Client wants to reduce the maintenance fee paying to the ex-wife as the client just lost his job. The client is unable to pay the current maintenance amount and he has been summoned to court for mentions and if he is unable to pay, they will throw him in jail for 2 days.","Client has to vary the maintenance amount. Due to his change in financial status, the client may have a chance to have the maintenance amount reduced. 

Engage a lawyer to help him.

Lawyer has advised client to go to the legal aid bureau, where he will have to undergo the means test and the merits test. 

Lawyer advised client not to take on the case himself as it is tiresome, whereby he will have to come down to court, call the court officer, draft documents and it will definitely affect his daily routine."
"Applicant is on her second session of mediation at Family Court regarding her maintenance. Applicant's ex-husband has not paid maintenance for 10 years, only paid for 2 years before that. Verbally, he said he took her maintenance to funnel into her son's education insurance. The maintenance was $500. The son's care and control is with the ex-husband. 

Applicant filed and claimed $18 000, court ordered mediation. Court said she can only claim for 3 years. Her ex-husband said he can only pay $11 000. 

Applicant has not been working for several months due to an accident that broke her ankle. She is currently working part-time, with income less than $1000.","Applicant can go to Legal Aid to engage a lawyer to fight the case for her if the mediation does not work out. Applicant can also go to PJP if she does not qualify for Legal Aid. Cost for PJP after the second time will be between the applicant and the lawyer. 

Applicant can vary the maintenance order as well."
"He received a letter from his ex spouse's lawyers for a variation on maintenance for the child of the marriage, Seah Wei En (9 years old). His ex spouse is asking for the maintenance to be raised to S$500.00 from the original sum of S$250.00. His take home income is about S$2,000.00 per month. His ex spouse also wants him to pay for her lawyer fees.","Ask his ex spouse for a breakdown of the child's expenses and try to work things out with his ex spouse to see if it is possible for the maintenance amount to be between S$250.00 to S$400.00.

He is not required to pay his wife's lawyer fees by law. He has the option to choose whether or not he can/want to pay."
